哲学家,核心代表作（中文常用译名）,原名 / 英文主要标题,为什么是核心语料库（简要说明）
苏格拉底,通过柏拉图对话录体现，主要读以下几篇,Plato's early dialogues,苏格拉底本人无著作，其思想主要保存在柏拉图早期对话中。核心是苏格拉底方法和伦理追问。
,《申辩篇》《克里托篇》《斐多篇》,"Apology, Crito, Phaedo",这三篇最直接呈现苏格拉底的审判、生活态度、灵魂不朽论和死亡观。
柏拉图,《理想国》,The Republic,柏拉图思想的巅峰之作，涵盖理念论、政治哲学、正义、教育、灵魂三分等几乎所有核心主题。
,《会饮篇》《斐多篇》《斐德罗篇》《巴门尼德篇》,"Symposium, Phaedo, Phaedrus, Parmenides",补充爱情、灵魂、辩证法、理念论批判等重要面向。
亚里士多德,《尼各马可伦理学》,Nicomachean Ethics,亚里士多德德性伦理学最完整表达，中道、幸福、友爱等核心概念。
,《形而上学》,Metaphysics,西方形而上学奠基之作，探讨“存在之为存在”、实体、本质、原因四因说等。
,《政治学》,Politics,城邦、政治制度、正义、最佳政体等政治哲学核心。
老子,《道德经》（或《老子》）,Tao Te Ching / Dao De Jing,道家思想几乎全部源头，道、无为、自然、反者道之动等核心概念。
孔子,《论语》,The Analects,儒家最原始、最权威的语录汇编，仁、礼、孝、君子、中庸等核心思想。
笛卡尔,《第一哲学沉思集》,Meditations on First Philosophy,现代哲学开山之作，“我思故我在”、方法论怀疑、身心二元论、上帝证明等全部核心。
,《谈谈方法》,Discourse on the Method,补充科学方法论和自传性哲学道路。
康德,《纯粹理性批判》,Critique of Pure Reason,认识论革命之作，先验综合判断、物自体、现象与本体、二律背反等全部核心。
,《实践理性批判》,Critique of Practical Reason,道德哲学核心，道德律令、绝对命令、自由与必然等。
,《判断力批判》,Critique of Judgment,美学与目的论，补充真-善-美完整体系。
黑格尔,《精神现象学》,Phenomenology of Spirit,黑格尔最重要、最具原创性的著作，辩证法、绝对精神、主奴辩证法等核心思想的诞生地。
,《逻辑学》,Science of Logic,辩证逻辑体系最完整表达。
马克思,《共产党宣言》,The Communist Manifesto,最简洁、最具冲击力的政治宣言，阶级斗争、历史唯物主义纲领。
,《资本论》（第一卷必读）,"Capital, Volume 1",马克思主义经济学与哲学最核心著作，剩余价值、异化、资本积累等全部基础。
尼采,《查拉图斯特拉如是说》,Thus Spoke Zarathustra,尼采最诗意、最具代表性的著作，超人、上帝已死、永恒轮回、权力意志等核心思想。
,《善恶的彼岸》 / 《论道德的谱系》,Beyond Good and Evil / On the Genealogy of Morality,更直接、更批判性的晚期思想，主人道德/奴隶道德、重估一切价值等。
海德格尔,《存在与时间》,Being and Time,20世纪最重要哲学著作之一，此在（Dasein）、存在论、在世、向死而在、操心等全部核心概念。
